Event Description,Year,outage_start_date,power_supplier,location,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags,duration,state,outage_type
Severe Weather - Snow/Ice,2014,2/5/2014,PPL Electric Utilities Corp,Pennsylvania,RFC,Unknown,"62,159","severe weather, winter storm",44.46666666666667,Pennsylvania,Severe Weather
Physical Attack - Vandalism,2014,1/30/2014,Tucson Electric Power,Arizona,WECC,Unknown,Unknown,"vandalism, physical",,Arizona,Physical Attack
Public Appeal due to Severe Weather - Cold,2014,1/27/2014,PJM Interconnection,Maryland,RFC,Unknown,Unknown,"severe weather, cold",30.666666666666668,Maryland,Fuel Supply Emergency
Physical Attack - Vandalism,2014,1/26/2014,PacifiCorp,Oregon,WECC,,,"vandalism, physical",14.0,Oregon,Physical Attack
Physical Attack - Vandalism,2014,1/25/2014,Madison Gas and Electric,Wisconsin,MRO,Unknown,Unknown,"vandalism, physical",1.0,Wisconsin,Physical Attack
Physical Attack - Vandalism,2014,1/24/2014,Madison Gas and Electric,Wisconsin,MRO,Unknown,Unknown,"vandalism, physical",1.5,Wisconsin,Physical Attack
Fuel Supply Emergency - Coal,2014,1/24/2014,We Energies,Wisconsin,RFC,Unknown,Unknown,"fuel supply emergency, coal",1799.8833333333334,Wisconsin,Fuel Supply Emergency
Physical Attack - Vandalism,2014,1/23/2014,Tacoma Power (TPWR),Washington,WECC,Unknown,Unknown,"vandalism, physical",19.716666666666665,Washington,Physical Attack
Public Appeal due to Severe Weather - Cold,2014,1/23/2014,Tennessee Valley Authority,Tennessee,SERC,Unknown,Unknown,"severe weather, cold",20.0,Tennessee,Fuel Supply Emergency
Public Appeal due to Severe Weather - Cold,2014,1/23/2014,Memphis Light Gas and Water Division,Tennessee,SERC,Unknown,Unknown,"severe weather, cold",32.0,Tennessee,Fuel Supply Emergency
Public Appeal due to Severe Weather - Cold,2014,1/23/2014,PJM Interconnection,Maryland,RFC,Unknown,Unknown,"severe weather, cold",19.933333333333334,Maryland,Fuel Supply Emergency
Physical Attack - Vandalism,2014,1/22/2014,Duke Energy Midwest,Ohio,RFC,Unknown,Unknown,"vandalism, physical",10.566666666666666,Ohio,Physical Attack
Physical Attack - Vandalism,2014,1/22/2014,Madison Gas and Electric,Wisconsin,MRO,Unknown,Unknown,"vandalism, physical",1.0,Wisconsin,Physical Attack
Physical Attack - Vandalism,2014,1/21/2014,Ameren Missouri,Missouri,SERC,10,Unknown,"vandalism, physical",0.4166666666666667,Missouri,Physical Attack
Public Appeal to Reduce Electricity Usage,2014,1/18/2014,ERCOT,Texas,TRE,Unknown,Unknown,public appeal,0.75,Texas,Public Appeal
Suspected Physical Attack,2014,1/17/2014,Dayton Power & Light Co,Ohio,RFC,Unknown,Unknown,"vandalism, physical",0.0,Ohio,Physical Attack
Physical Attack - Vandalism,2014,1/16/2014,Arizona Public Service Co,Arizona,WECC,,,"vandalism, physical",1.45,Arizona,Physical Attack
Physical Attack - Vandalism,2014,1/15/2014,PacifiCorp,Utah,WECC,Unknown,Unknown,"vandalism, physical",0.21666666666666667,Utah,Physical Attack
Physical Attack - Vandalism,2014,1/13/2014,Arizona Public Service Co,Arizona,WECC,,,"vandalism, physical",0.016666666666666666,Arizona,Physical Attack
Fuel Supply Emergency - Natural Gas,2014,1/7/2014,"Prairie Power, Inc.",Illinois,RFC,,,"fuel supply emergency, natural gas",46.016666666666666,Illinois,Fuel Supply Emergency
Public Appeal due to Severe Weather - Cold,2014,1/7/2014,Tennessee Valley Authority,Tennessee,SERC,Unknown,Unknown,"severe weather, cold",2.5,Tennessee,Fuel Supply Emergency
Public Appeal due to Severe Weather - Cold,2014,1/7/2014,Memphis Light Gas and Water Division,Tennessee,SERC,Unknown,Unknown,"severe weather, cold",2.5,Tennessee,Fuel Supply Emergency
Severe Weather - Cold,2014,1/7/2014,PJM Interconnection,Pennsylvania,RFC,Unknown,Unknown,"severe weather, cold",0.016666666666666666,Pennsylvania,Severe Weather
Public Appeal due to Severe Weather - Cold,2014,1/6/2014,Louisville Gas & Electric Co,Kentucky,RFC,Unknown,Unknown,"severe weather, cold",0.016666666666666666,Kentucky,Fuel Supply Emergency
Voltage Reduction due to Severe Weather - Cold,2014,1/6/2014,"UGI Utilities, Inc",Pennsylvania,RFC,200,"62,000","severe weather, cold",0.9833333333333333,Pennsylvania,Electrical System Issues
Voltage Reduction due to Severe Weather - Cold,2014,1/6/2014,Delmarva Power & Light Company,Delaware,RFC,Unknown,Unknown,"severe weather, cold",0.8833333333333333,Delaware,Electrical System Issues
Voltage Reduction due to Severe Weather - Cold,2014,1/6/2014,PPL Electric Utilities Corp,Pennsylvania,RFC,Unknown,Unknown,"severe weather, cold",0.9,Pennsylvania,Electrical System Issues
Vandalism,2014,1/6/2014,PacifiCorp,Utah,RFC,,,vandalism,0.016666666666666666,Utah,Physical Attack
Public Appeal due to Severe Weather - Cold,2014,1/6/2014,ERCOT,Texas,TRE,,,"severe weather, cold",25.983333333333334,Texas,Fuel Supply Emergency
Physical Attack,2013,12/30/2013,PacifiCorp,Utah,WECC,,,"vandalism, physical",0.016666666666666666,Utah,Physical Attack
Physical Attack,2013,12/30/2013,Arizona Public Service Co,Arizona,WECC,,,"vandalism, physical",45.0,Arizona,Physical Attack
Physical Attack,2013,12/27/2013,Arizona Public Service Co,Arizona,WECC,,,"vandalism, physical",3.0,Arizona,Physical Attack
Severe Weather - Ice/Snow,2013,12/23/2013,Central Maine Power Co,Maine,NPCC,Unknown,"52,500","severe weather, winter storm",44.2,Maine,Severe Weather
Severe Weather - Ice/Snow,2013,12/23/2013,Central Maine Power Co,Maine,NPCC,Unknown,"52,500","severe weather, winter storm",44.2,Maine,Severe Weather
Severe Weather - Ice/Snow,2013,12/22/2013,Consumers Energy Co,Michigan,RFC,Unknown,"50,000","severe weather, winter storm",164.28333333333333,Michigan,Severe Weather
Severe Weather - Ice/Snow,2013,12/22/2013,Detroit Edison Co,Michigan,RFC,350,"140,735","severe weather, winter storm",70.7,Michigan,Severe Weather
Fuel Supply Emergencies (Coal),2013,12/13/2013,City of Garland,Texas,TRE,Unknown,Unknown,"fuel supply emergency, coal",336.0,Texas,Fuel Supply Emergency
Fuel Supply Emergencies (Coal),2013,12/13/2013,Texas Municipal Power Agency,Texas,TRE,Unknown,Unknown,"fuel supply emergency, coal",336.0,Texas,Fuel Supply Emergency
Suspected Physical Attack,2013,12/10/2013,Arizona Public Service Co,Arizona,WECC,Unknown,Unknown,"vandalism, physical",24.0,Arizona,Physical Attack
Severe Weather - Ice/Snow,2013,12/9/2013,Dominion Virginia Power,Virginia,SERC,293,"88,000","severe weather, winter storm",7.466666666666667,Virginia,Severe Weather
Severe Weather - Ice/Snow,2013,12/6/2013,Oncor Electric Delivery Company LLC,Texas,TRE,Unknown,"881,000","severe weather, winter storm",130.15,Texas,Severe Weather
"Physical Attack - Vandalism, Theft",2013,12/6/2013,PacifiCorp,Utah,WECC,,,"vandalism, physical",0.03333333333333333,Utah,Physical Attack
Load Shed 100+ MW,2013,12/4/2013,WECC - Loveland,Idaho,WECC,150,Unknown,load shedding,11.283333333333333,Idaho,Load Shedding
