Event Description,Year,outage_start_date,power_supplier,location,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags,duration,state,outage_type
Trip of a Unit,2007,4/12/2007,Crockett Cogeneration,California,WECC,130,-,generator trip,2.2333333333333334,California,Equipment Failures
Heavy Snow Storm,2007,4/5/2007,Central Maine Power Company,Maine,NPCC,-,"117,142","severe weather, winter storm",15.833333333333334,Maine,Severe Weather
Severe Thunderstorms,2007,3/31/2007,CenterPoint Energy,Texas,ERCOT,179,"67,000","severe weather, thunderstorm",11.5,Texas,Severe Weather
Major Storm,2007,3/1/2007,Southern Company,Florida,SERC,95,"25,445","severe weather, storm",25.833333333333332,Florida,Severe Weather
Winter Storm,2007,2/28/2007,Pacific Gas and Electric Company,California,WECC,110,"671,189","severe weather, winter storm",56.0,California,Severe Weather
Ice Storm,2007,2/24/2007,MidAmerican Energy Company,Iowa,MRO,210,"75,000","severe weather, winter storm",188.95,Iowa,Severe Weather
Ice Storm,2007,2/24/2007,MidAmerican Energy Company,Illinois,MRO,210,"75,000","severe weather, winter storm",188.95,Illinois,Severe Weather
Ice Storm,2007,2/24/2007,Midwest ISO,Iowa,RFC,750,"215,000","severe weather, winter storm",17.4,Iowa,Severe Weather
Ice Storm,2007,2/24/2007,Alliant Energy,Iowa,MRO,400,"140,000","severe weather, winter storm",5.783333333333333,Iowa,Severe Weather
Winter Storm,2007,2/13/2007,Baltimore Gas and Electric Company,Maryland,RFC,400,"155,183","severe weather, winter storm",84.5,Maryland,Severe Weather
Ice/Wind Storm,2007,2/13/2007,Duke Energy Midwest,Indiana,RFC,250,"367,500","severe weather, winter storm",70.0,Indiana,Severe Weather
Ice/Wind Storm,2007,2/13/2007,Duke Energy Midwest,Ohio,RFC,250,"367,500","severe weather, winter storm",70.0,Ohio,Severe Weather
Major Windstorm,2007,1/16/2007,Snohomish County PUD No. 1,Washington,WECC,260,"110,433","severe weather, wind",34.0,Washington,Severe Weather
Ice Storm,2007,1/13/2007,DTE Energy (Detroit Edison),Michigan,RFC,500,"129,607","severe weather, winter storm",152.5,Michigan,Severe Weather
Ice Storm,2007,1/13/2007,Ameren Corporation,Missouri,MRO,,"225,000","severe weather, winter storm",151.0,Missouri,Severe Weather
Ice Storm,2007,1/13/2007,Ameren Corporation,Illinois,MRO,,"225,000","severe weather, winter storm",151.0,Illinois,Severe Weather
Severe Weather,2006,12/26/2006,Pacific Gas and Electric Company,California,WECC,420,"850,068",severe weather,117.2,California,Severe Weather
Transmission Equipment/Fire,2006,12/16/2006,Portland General Electric,Oregon,WECC,350,"84,500","wild fire, transmission interruption",5.5,Oregon,Fire
High Winds,2006,12/14/2006,Portland General Electric,Oregon,WECC,,"249,500","severe weather, wind",73.0,Oregon,Severe Weather
Wind Storm,2006,12/14/2006,Seattle City Light,Washington,WECC,750,"175,000","severe weather, wind",19.983333333333334,Washington,Severe Weather
High Winds,2006,12/14/2006,Tacoma Power,Washington,WECC,280,"75,000","severe weather, wind",47.0,Washington,Severe Weather
Wind Storm,2006,12/14/2006,Bonneville Power Administration,Montana,WECC,258,24,"severe weather, wind",412.8333333333333,Montana,Severe Weather
HIgh Winds,2006,12/14/2006,PacifiCorp,Oregon,WECC,,"111,000 (peak)","severe weather, wind",71.88333333333333,Oregon,Severe Weather
Wind Storm,2006,12/14/2006,Snohomish County PUD #1,Washington,WECC,360,"172,060","severe weather, wind",160.5,Washington,Severe Weather
Wind Storm,2006,12/13/2006,Puget Sound Energy,Washington,WECC,,"700,000","severe weather, wind",379.48333333333335,Washington,Severe Weather
Unit Tripped,2006,12/10/2006,Crockett Cogeneration,California,WECC,220,,generator trip,2.65,California,Equipment Failures
Wind Storm,2006,12/1/2006,American Electric Power,Ohio,RFC,,"59,106","severe weather, wind",11.666666666666666,Ohio,Severe Weather
Ice Storm,2006,11/30/2006,Ameren Corporation,Missouri,MRO,,"550,000","severe weather, winter storm",213.0,Missouri,Severe Weather
Ice Storm,2006,11/30/2006,Ameren Corporation,Illinois,MRO,,"550,000","severe weather, winter storm",213.0,Illinois,Severe Weather
Wind/Snow Storm,2006,11/26/2006,Snohomish County PUD #1,Washington,WECC,180,"63,992","severe weather, winter storm",149.0,Washington,Severe Weather
Severe Weather,2006,11/15/2006,Southern Company,Georgia,SERC,363,"109,000",severe weather,2.0,Georgia,Severe Weather
High Winds,2006,11/15/2006,Puget Sound Energy,Washington,WECC,50,"50,000","severe weather, wind",85.58333333333333,Washington,Severe Weather
Wet Snow/Winds,2006,10/26/2006,Xcel Energy,Colorado,MRO,,"65,000","severe weather, winter storm",35.666666666666664,Colorado,Severe Weather
High Winds,2006,10/20/2006,PECO Energy,Pennsylvania,RFC,,"90,000","severe weather, wind",52.0,Pennsylvania,Severe Weather
Shed Firm Load,2006,10/2/2006,Southern California Edison Company,California,WECC,308,"130,000",load shedding,5.566666666666666,California,Load Shedding
Severe Thunderstorms,2006,10/2/2006,Exelon Corporation/ComEd,Illinois,RFC,,"471,932","severe weather, thunderstorm",28.0,Illinois,Severe Weather
Severe Thunderstorms,2006,9/28/2006,Dominion - Virginia Power/North Carolina Power,Virginia,SERC,84,"56,500","severe weather, thunderstorm",2.033333333333333,Virginia,Severe Weather
Tropical Storm Ernesto,2006,9/1/2006,Dominion - Virginia Power/North Carolina Power,Virginia,SERC,500,"333,000","severe weather, hurricane/tropical storm",56.733333333333334,Virginia,Severe Weather
Tropical Storm Ernesto,2006,9/1/2006,PECO Energy,Pennsylvania,RFC,,"146,094","severe weather, hurricane/tropical storm",80.0,Pennsylvania,Severe Weather
Severe Thunderstorm,2006,8/10/2006,Idaho Power Company,Idaho,WECC,80 to 100,"65,000","severe weather, thunderstorm",40.0,Idaho,Severe Weather
Severe Thunderstorm,2006,8/10/2006,Idaho Power Company,Oregon,WECC,80 to 100,"65,000","severe weather, thunderstorm",40.0,Oregon,Severe Weather
Made Public Appeals,2006,8/7/2006,American Electric Power,Oklahoma,RFC,75,Major Industrial Customer Load Reduction,public appeal,5.0,Oklahoma,Public Appeal
Made Public Appeals,2006,8/1/2006,Duke Energy Midwest,Kentucky,RFC,90,,public appeal,7.5,Kentucky,Public Appeal
Made Public Appeals/Heat Wave,2006,8/1/2006,First Energy Corporation,Ohio,RFC,,,"severe weather, heat, public appeal",7.0,Ohio,Severe Weather
Severe Thunderstorms,2006,7/27/2006,PECO Energy,Pennsylvania,RFC,,"167,564","severe weather, thunderstorm",50.96666666666667,Pennsylvania,Severe Weather
Widespread Heat Wave/CAISO  Implementation of Stage 2 Electrical Emergency Plan,2006,7/24/2006,California ISO,California,WECC,695,,"severe weather, heat",3.0,California,Severe Weather
Widespread Heat Wave/CAISO Implementation of Stage 2 Electrical Emergency Plan,2006,7/24/2006,Southern California Edison Company,California,WECC,414,Interruptible Tarriff 1-6 customers,"severe weather, heat",3.0,California,Severe Weather
Widespread Heat Wave/Public Appeals Made,2006,7/22/2006,Pacific Gas and Electric Company,California,WECC,200,"1,271,893","severe weather, heat, public appeal",122.85,California,Severe Weather
Load Reduction/Public Appeals Made,2006,7/19/2006,Entergy Services Inc.,Arkansas,SERC,40,"8,000","load shedding, public appeal",6.9,Arkansas,Load Shedding
Severe Lightning Storms,2006,7/18/2006,PECO Energy,Pennsylvania,RFC,,"492,955","severe weather, thunderstorm",125.38333333333334,Pennsylvania,Severe Weather
Lightning Storms/Tripped Lines,2006,7/18/2006,ISO New England,Connecticut,NPCC,0,0,"severe weather, thunderstorm",2.4166666666666665,Connecticut,Severe Weather
Severe Lightning Storms,2006,7/17/2006,Exelon Corporation West ComEd,Illinois,RFC,,"170,519","severe weather, thunderstorm",12.0,Illinois,Severe Weather
Severe Lightning Storms,2006,7/16/2006,Consumers Energy,Michigan,RFC,150,"315,000","severe weather, thunderstorm",118.0,Michigan,Severe Weather
Severe Thunderstorms,2006,7/4/2006,Dominion - Virginia Power/North Carolina,Virginia,RFC,335,"67,000","severe weather, thunderstorm",2.8,Virginia,Severe Weather
Severe Thunderstorms,2006,7/2/2006,Dominion - Virginia Power/North Carolina,Virginia,RFC,300,"75,000","severe weather, thunderstorm",17.866666666666667,Virginia,Severe Weather
Severe Thunderstorms,2006,6/22/2006,American Electric Power,Ohio,RFC,750,"195,000","severe weather, thunderstorm",129.0,Ohio,Severe Weather
Severe Thunderstorms,2006,6/22/2006,American Electric Power,Indiana,RFC,750,"195,000","severe weather, thunderstorm",129.0,Indiana,Severe Weather
Severe Weather,2006,6/1/2006,PECO Energy,Pennsylvania,RFC,,"111,555",severe weather,39.0,Pennsylvania,Severe Weather
Severe Thunderstorms,2006,6/1/2006,Baltimore Gas and Electric,Maryland,RFC,335,"70,000","severe weather, thunderstorm",43.5,Maryland,Severe Weather
Severe Weather,2006,5/25/2006,"Duke Energy - Ohio, Kentucky, Indiana",Indiana,RFC,800,"210,000",severe weather,37.166666666666664,Indiana,Severe Weather
Lightning Strike,2006,5/19/2006,Crockett Cogeneration,California,WECC,133,-,"severe weather, thunderstorm",7.283333333333333,California,Severe Weather
Load Shed/Declared EECP,2006,4/17/2006,Electric Reliability Council of Texas,Texas,ERCOT,"1,000","200,000",load shedding,4.083333333333333,Texas,Load Shedding
Load Shed/ Declared EECP,2006,4/17/2006,TXU Electric Delivery Company,Texas,ERCOT,380,"489,478",load shedding,3.15,Texas,Load Shedding
Load Shed/Made Public Appeals/Rolling Blackouts,2006,4/17/2006,Austin Energy,Texas,ERCOT,37- 40,"8,000 -10,000","load shedding, public appeal",2.1666666666666665,Texas,Load Shedding
Load Shed/Declared EECP,2006,4/17/2006,American Electric Power,Texas,ERCOT,108,"51,404",load shedding,1.5833333333333333,Texas,Load Shedding
Severe Weather/ Tornadoes,2006,4/8/2006,Southern Company,Alabama,SERC,300,"115,589","severe weather, tornado",7.0,Alabama,Severe Weather
Severe Weather/ Tornadoes,2006,4/8/2006,Southern Company,Georgia,SERC,300,"115,589","severe weather, tornado",7.0,Georgia,Severe Weather
Major Storms/Tornadoes,2006,4/2/2006,Cinergy PSI,Indiana,RFC,"1,000","186,000","severe weather, tornado, storm",55.416666666666664,Indiana,Severe Weather
Severe Weather,2006,3/12/2006,"City Water Light and Power (Springfield, Illinois)",Illinois,RFC,200,"65,400",severe weather,39.5,Illinois,Severe Weather
Severe Weather,2006,3/9/2006,Entergy Service Inc.,Texas,SERC,,"73,000",severe weather,8.0,Texas,Severe Weather
Severe Winter Storm,2006,2/27/2006,Pacific Gas and Electric Company,California,WECC,-,"160,000","severe weather, winter storm",44.08333333333333,California,Severe Weather
Inadequate Electric Resources to Serve Load,2006,2/18/2006,Public Service Company of Colorado,Colorado,WECC,428,-,load shedding,7.316666666666666,Colorado,Transmission and Distribution Issues
Severe Thunderstorm/ Snow/Ice Storm,2006,2/16/2006,Consumers Energy,Michigan,RFC,100,"252,089","severe weather, winter storm",107.0,Michigan,Severe Weather
Severe Thunderstorm/ Snow/Ice Storm,2006,2/16/2006,Consumers Energy,Michigan,RFC,100,"252,089","severe weather, winter storm",107.0,Michigan,Severe Weather
Major Snow Storm,2006,2/12/2006,Potomac Electric Power Company,Washington,RFC,300,"60,000","severe weather, winter storm",53.63333333333333,Washington,Severe Weather
Severe Snow Storm,2006,2/12/2006,Dominion - Virginia Power,Virginia,RFC,250,"126,000","severe weather, winter storm",8.083333333333334,Virginia,Severe Weather
Major Snow Storm,2006,2/11/2006,Baltimore Gas and Electric,Maryland,RFC,500,"180,000","severe weather, winter storm",74.0,Maryland,Severe Weather
Severe Windstorm,2006,2/4/2006,Puget Sound Energy,Washington,WECC,--,"140,000","severe weather, wind",99.5,Washington,Severe Weather
Strong Winds,2006,2/4/2006,Snohomish County PUD #1,Washington,WECC,150,"123,827","severe weather, wind",58.45,Washington,Severe Weather
Severe Storm,2006,1/18/2006,Central Maine Power Company,Maine,NPCC,75,"63,000","severe weather, storm",3.3,Maine,Severe Weather
High Winds,2006,1/14/2006,PECO Energy,Pennsylvania,RFC,--,"142,315","severe weather, wind",49.75,Pennsylvania,Severe Weather
Severe Storms,2005,12/31/2005,Pacific Gas and Electric,California,WECC,800,"1,667,316","severe weather, storm",123.0,California,Severe Weather
Ice Storm,2005,12/15/2005,Southern Company,Georgia,SERC,75,"52,659","severe weather, winter storm",31.083333333333332,Georgia,Severe Weather
Severe Thunderstorms,2005,11/12/2005,We Energies,Wisconsin,MAIN,10,"48,000","severe weather, thunderstorm",50.0,Wisconsin,Severe Weather
Severe Thunderstorm,2005,11/6/2005,DTE Energy,Michigan,ECAR,212,"118,000","severe weather, thunderstorm",136.0,Michigan,Severe Weather
Plant Tripped,2005,11/3/2005,Crockett Cogeneration,California,WECC,136,--,equipment failure,0.21666666666666667,California,Equipment Failures
Hurricane Wilma,2005,10/24/2005,Allegheny Power,Pennsylvania,MAAC,400,"303,795","severe weather, hurricane/tropical storm",212.5,Pennsylvania,Severe Weather
Hurricane Wilma,2005,10/24/2005,Seminole Electric Cooperative,Florida,FRCC,280,"105,000","severe weather, hurricane/tropical storm",12.0,Florida,Severe Weather
Hurricane Wilma,2005,10/24/2005,Florida Municipal Power Agency,Florida,FRCC,148,"84,900","severe weather, hurricane/tropical storm",413.0,Florida,Severe Weather
Hurricane Rita,2005,9/24/2005,American Electric Power - CSWS,Louisiana,ECAR,700,"190,000","severe weather, hurricane/tropical storm",104.0,Louisiana,Severe Weather
Hurricane Rita,2005,9/23/2005,CenterPoint Energy Houston Electric,Texas,ERCOT,"1,950","715,000","severe weather, hurricane/tropical storm",27.0,Texas,Severe Weather
Hurricane Rita,2005,9/23/2005,Entergy Corporation,Mississippi,SPP,,"766,000","severe weather, hurricane/tropical storm",34.5,Mississippi,Severe Weather
Hurricane Rita,2005,9/23/2005,Louisiana Generating,Louisiana,SPP,350,"125,000","severe weather, hurricane/tropical storm",313.4,Louisiana,Severe Weather
Hurricane Rita  disrupted normal gas allotment through natural gas pipelines (FGT & Gulf stream). Public Appeals for conservation were issued.,2005,9/23/2005,City of Lakeland,Florida,FRCC,0,0,"severe weather, hurricane/tropical storm, fuel supply emergency, public appeal",124.48333333333333,Florida,Severe Weather
Severe Thunderstorm,2005,9/22/2005,DTE Energy,Michigan,ECAR,366,"53,000","severe weather, thunderstorm",108.5,Michigan,Severe Weather
High Winds/Tornados,2005,9/21/2005,Xcel Energy - Northern States  Power,Minnesota,MRO,,"200,000","severe weather, tornado",148.0,Minnesota,Severe Weather
Severe Storm,2005,9/13/2005,We Energies,Wisconsin,MAIN,600,"110,000","severe weather, storm",73.5,Wisconsin,Severe Weather
Breaker protection cable accidentally cut,2005,9/12/2005,Los Angeles Department of Water and Power,California,WECC,"2,578","900,000",equipment failure,1.4,California,Electrical System Issues
Hurricane Katrina disrupted normal gas supplies distribution. Public appeals for conservation were issued.,2005,8/31/2005,Seminole Electric Cooperative,Florida,FRCC,0,0,"severe weather, hurricane/tropical storm, fuel supply emergency, public appeal",280.0,Florida,Fuel Supply Emergency
Hurricane Katrina,2005,8/29/2005,Entergy Corporation,Louisiana,SPP,,"1.1 million and 100,000 gas customers","severe weather, hurricane/tropical storm",24.0,Louisiana,Severe Weather
Hurricane Katrina,2005,8/29/2005,Louisiana Generating,Louisiana,SPP,300,"143,000","severe weather, hurricane/tropical storm",11.533333333333333,Louisiana,Severe Weather
Hurricane Katrina  disrupted normal gas allotment through natural gas pipelines (FGT & Gulf stream). Public appeals for conservation were issued.,2005,8/29/2005,City of Lakeland,Florida,FRCC,0,0,"severe weather, hurricane/tropical storm, fuel supply emergency, public appeal",235.01666666666665,Florida,Fuel Supply Emergency
Hurricane Katrina,2005,8/29/2005,Tennessee Valley Authority,Tennessee,SERC,118.5,"323,529","severe weather, hurricane/tropical storm",284.1666666666667,Tennessee,Severe Weather
Hurricane Katrina,2005,8/29/2005,Southern Company,Mississippi,SERC,"5,120","512,049","severe weather, hurricane/tropical storm",14.833333333333334,Mississippi,Severe Weather
CAISO initiated interruption of  interruptible and firm load due to declaration of  Transmission Emergency in Southern California,2005,8/25/2005,Southern California Edison Company,California,WECC,864,"409,000","load shedding, transmission interruption",4.15,California,Transmission and Distribution Issues
CAISO determined there was  inadequate electric resources to serve load.  Public appeals and a shedding of interruptible and firm load occurred.,2005,8/25/2005,California ISO,California,WECC,-,-,"load shedding, public appeal",4.166666666666667,California,Load Shedding
Severe Thunderstorms,2005,8/20/2005,American Electric Power -AEP West,Arkansas,ECAR,650,"50,797","severe weather, thunderstorm",2.1,Arkansas,Severe Weather
Plant Tripped,2005,8/8/2005,Crockett Cogeneration,California,WECC,240,PG&E,equipment failure,3.3666666666666667,California,Equipment Failures
Severe Thunderstorms,2005,7/27/2005,PECO Energy,Pennsylvania,MAAC,,"93,837","severe weather, thunderstorm",40.56666666666666,Pennsylvania,Severe Weather
Severe Thunderstorm,2005,7/27/2005,Potomac Electric Power Company (Pepco),Maryland,MAAC,,"64,943","severe weather, thunderstorm",75.28333333333333,Maryland,Severe Weather
Severe Thunderstorms,2005,7/27/2005,Baltimore Gas and Electric Company,Maryland,MAAC,,"87,600","severe weather, thunderstorm",46.0,Maryland,Severe Weather
Severe Thunderstorms,2005,7/23/2005,Potomac Electric Power Company (Pepco),Maryland,MAAC,,"55,118","severe weather, thunderstorm",81.8,Maryland,Severe Weather
CA ISO Stage 2 -Initiated interruption of Air Conditioner Cycling Interruptible Load Program,2005,7/22/2005,Southern California Edison Company,California,WECC,206,"133,900",load shedding,4.083333333333333,California,Load Shedding
CA ISO  Stage 2 -Initiated interruption of Air Conditioner Cycling Interruptible Load Program,2005,7/21/2005,Southern California Edison Company,California,WECC,197,"128,050",load shedding,2.85,California,Load Shedding
Hurricane Dennis,2005,7/10/2005,Southern Company,Georgia,SERC,45,"228,102","severe weather, hurricane/tropical storm",48.0,Georgia,Severe Weather
Hurricane Dennis,2005,7/10/2005,Alabama Electric Coop Inc.,Alabama,SERC,51.2,"50,000","severe weather, hurricane/tropical storm",28.666666666666668,Alabama,Severe Weather
Hurricane Dennis,2005,7/10/2005,Alabama Electric Coop Inc.,Florida,SERC,51.2,"50,000","severe weather, hurricane/tropical storm",28.666666666666668,Florida,Severe Weather
Tropical Storm Cindy,2005,7/5/2005,Entergy Corporation,Louisiana,SPP,unknown,"287,000","severe weather, hurricane/tropical storm",12.0,Louisiana,Severe Weather
Fuel Supply - Deficiency Coal Rail Transporation Interruption,2005,7/1/2005,Southwestern Public Service Company,Kansas,ERCOT,0,0,"fuel supply emergency, coal",,Kansas,Fuel Supply Emergency
Strong Thunderstorm/High Winds,2005,6/29/2005,DTE Energy,Michigan,ECAR,"1,000","114,711","severe weather, thunderstorm",127.0,Michigan,Severe Weather
Fuel Supply Deficiency/Coal Rail Transportation Interruption,2005,6/28/2005,Public Service Company of Colorado,Colorado,WECC,0,0,"fuel supply emergency, coal",,Colorado,Fuel Supply Emergency
Transmission Equipment Failure,2005,6/24/2005,Commonwealth Edison Company,Illinois,MAIN,350,"51,500","equipment failure, transmission interruption",2.4833333333333334,Illinois,Transmission and Distribution Issues
Strong Thunderstorm,2005,6/8/2005,Xcel Energy - Northern States Power,Minnesota,MRO,50-100,"300,000","severe weather, thunderstorm",66.0,Minnesota,Severe Weather
Strong Thunderstorm,2005,6/6/2005,PECO Energy,Pennsylvania,MAAC,,"143,000","severe weather, thunderstorm",29.28333333333333,Pennsylvania,Severe Weather
Strong Thunderstorm/High Winds,2005,6/5/2005,DTE Energy,Michigan,ECAR,"1,826","201,580","severe weather, thunderstorm",113.5,Michigan,Severe Weather
Strong Thunderstorms,2005,5/29/2005,CenterPoint Energy Houston Electric,Texas,ERCOT,328,"123,000","severe weather, thunderstorm",6.5,Texas,Severe Weather
Strong Thunderstorms,2005,5/8/2005,CenterPoint Energy Houston Electric,Texas,ERCOT,672,"243,000","severe weather, thunderstorm",7.0,Texas,Severe Weather
Thunderstorms,2005,4/30/2005,Southern Company,Alabama,SERC,100,"51,808","severe weather, thunderstorm",2.0,Alabama,Severe Weather
Thunderstorms,2005,4/30/2005,Southern Company,Georgia,SERC,100,"51,808","severe weather, thunderstorm",2.0,Georgia,Severe Weather
Winter Storm,2005,4/23/2005,Cleveland Electric Illuminating Company/First Energy Corporation,Ohio,ECAR,,"150,000","severe weather, winter storm",96.0,Ohio,Severe Weather
Winter Storm,2005,4/23/2005,Cleveland Electric Illuminating Company/First Energy Corporation,Ohio,ECAR,,"150,000","severe weather, winter storm",96.0,Ohio,Severe Weather
Lightning Strike,2005,4/22/2005,Crockett Cogeneration,California,WECC,126,PG&E,"severe weather, thunderstorm",0.13333333333333333,California,Severe Weather
Winter Storm,2005,4/1/2005,Cleveland Electric Illuminating Company/First Energy Corporation,Ohio,ECAR,,"211,000","severe weather, winter storm",,Ohio,Severe Weather
Winter Storm,2005,4/1/2005,Cleveland Electric Illuminating Company/First Energy Corporation,Ohio,ECAR,,"211,000","severe weather, winter storm",,Ohio,Severe Weather
Ice Storm,2005,1/29/2005,Georgia System Operations Corporation (GSOC),Georgia,SERC,65 to 100,"82,000","severe weather, winter storm",23.0,Georgia,Severe Weather
Ice Storm,2005,1/29/2005,Southern Company,Alabama,SERC,100,"150,000","severe weather, winter storm",48.0,Alabama,Severe Weather
Ice Storm,2005,1/29/2005,Southern Company,Georgia,SERC,100,"150,000","severe weather, winter storm",48.0,Georgia,Severe Weather
Winter Storm,2005,1/7/2005,Pacific Gas and Electric Company,California,WECC,120,"442,000","severe weather, winter storm",67.0,California,Severe Weather
Winter Ice Storm,2005,1/5/2005,American Electric Power,Indiana,ECAR,545,"114,791","severe weather, winter storm",253.83333333333334,Indiana,Severe Weather
Winter Ice Storm,2005,1/5/2005,American Electric Power,Michigan,ECAR,545,"114,791","severe weather, winter storm",253.83333333333334,Michigan,Severe Weather
Winter Storm,2005,1/4/2005,Westar Energy,Kansas,SPP,200,"211,000","severe weather, winter storm",234.0,Kansas,Severe Weather
Severe Weather/Line Relayed,2004,12/27/2004,Pacific Gas and Electric  Company,California,WECC,100,"95,000",severe weather,3.0,California,Severe Weather
High Winds,2004,12/1/2004,Baltimore Gas & Electric Company,Maryland,MAAC,270,"122,000","severe weather, wind",37.983333333333334,Maryland,Severe Weather
Heavy Rain and Wind Storm,2004,12/1/2004,Exelon (PECO Energy),Pennsylvania,MAAC,-,"105,312","severe weather, storm",38.65,Pennsylvania,Severe Weather
Strong Thunderstorms,2004,11/24/2004,Southern Company,Georgia,SERC,100,"83,450","severe weather, thunderstorm",6.0,Georgia,Severe Weather
Strong Thunderstorms,2004,11/23/2004,CenterPoint Energy,Texas,ERCOT,150,"119,000","severe weather, thunderstorm",3.0,Texas,Severe Weather
High Wind Gusts,2004,10/30/2004,DTE Energy,Michigan,ECAR,700,"159,870","severe weather, wind",97.33333333333333,Michigan,Severe Weather
Major Transmission Distribution System Interruption,2004,10/28/2004,Pacific Gas and Electric  Company,California,WECC,103,"59,458",transmission interruption,2.683333333333333,California,Transmission and Distribution Issues
Public Appeal/Breaker Failure and Fire,2004,10/25/2004,Entergy Transmission,Louisiana,SPP,-,-,"wild fire, public appeal",23.0,Louisiana,Fire
Severe Storm with High Wind Gusts,2004,10/18/2004,Pacific Gas and Electric  Company,California,WECC,140,"407,440","severe weather, wind",34.5,California,Severe Weather
Hurricane Jeanne,2004,9/27/2004,Southern Company,Georgia,SERC,854,"85,455","severe weather, hurricane/tropical storm",6.0,Georgia,Severe Weather
Hurricane Jeanne,2004,9/26/2004,Orlando Utilities Commission,Florida,FRCC,350,"110,000","severe weather, hurricane/tropical storm",102.0,Florida,Severe Weather
Hurricane Jeanne,2004,9/26/2004,Progress Energy Florida,Florida,FRCC,"1,800","722,000","severe weather, hurricane/tropical storm",126.0,Florida,Severe Weather
Hurricane Jeanne,2004,9/26/2004,Tampa Electric Company,Florida,FRCC,"1,250","285,300","severe weather, hurricane/tropical storm",34.0,Florida,Severe Weather
Hurricane Jeanne,2004,9/25/2004,Fort Pierce Utilities Authority,Florida,FRCC,125,"26,000","severe weather, hurricane/tropical storm",16.0,Florida,Severe Weather
Hurricane Ivan,2004,9/16/2004,Alabama Electric Cooperative,Washington,SERC,263,"75,000","severe weather, hurricane/tropical storm",8.033333333333333,Washington,Severe Weather
Hurricane Ivan,2004,9/16/2004,Alabama Electric Cooperative,Alabama,SERC,263,"75,000","severe weather, hurricane/tropical storm",8.033333333333333,Alabama,Severe Weather
Hurricane Ivan,2004,9/15/2004,Southern Company,Georgia,SERC,916,"916,316","severe weather, hurricane/tropical storm",48.0,Georgia,Severe Weather
Hurricane Frances,2004,9/7/2004,Georgia System Operations,Georgia,SERC,"2,200","150,000","severe weather, hurricane/tropical storm",26.0,Georgia,Severe Weather
Hurricane Frances,2004,9/6/2004,Southern Company,Georgia,SERC,"3,000","99,000","severe weather, hurricane/tropical storm",71.0,Georgia,Severe Weather
Hurricane Frances,2004,9/5/2004,Orlando Utilities Commission,Florida,FRCC,200,"65,000","severe weather, hurricane/tropical storm",112.0,Florida,Severe Weather
Hurricane Frances,2004,9/5/2004,Progress Energy Florida,Florida,FRCC,"2,100","832,898","severe weather, hurricane/tropical storm",173.0,Florida,Severe Weather
Hurricane Frances,2004,9/4/2004,Florida Power & Light,Florida,FRCC,"6,000","2,775,093","severe weather, hurricane/tropical storm",48.0,Florida,Severe Weather
Hurricane Frances,2004,9/4/2004,Tampa Electric Company,Florida,FRCC,"1,100","268,000","severe weather, hurricane/tropical storm",201.0,Florida,Severe Weather
Hurricane Frances,2004,9/3/2004,Fort Pierce Utilities Authority,Florida,FRCC,125,"26,000","severe weather, hurricane/tropical storm",41.0,Florida,Severe Weather
Tropical Storm Gaston,2004,8/30/2004,Dominion - Virginia Power/North Carolina Power,Virginia,SERC,150,"99,816","severe weather, hurricane/tropical storm",20.616666666666667,Virginia,Severe Weather
Major Transmission Line Tripped due to Lightning Strike,2004,8/20/2004,National Grid USA,Massachusetts,NPCC,"22,700","380,000","severe weather, thunderstorm, transmission interruption",6.233333333333333,Massachusetts,Severe Weather
Hurricane Charley,2004,8/13/2004,Tampa Electric Company,Florida,FRCC,250,"78,000","severe weather, hurricane/tropical storm",3.683333333333333,Florida,Severe Weather
Hurricane Charley,2004,8/13/2004,"Utilities Commission, City of New Smyrna Beach",Florida,FRCC,65,"23,000","severe weather, hurricane/tropical storm",18.316666666666666,Florida,Severe Weather
Hurricane Charley,2004,8/13/2004,Progress Energy Florida,Florida,FRCC,"1,300","502,000","severe weather, hurricane/tropical storm",244.0,Florida,Severe Weather
Hurricane Charley,2004,8/13/2004,Florida Power & Light,Florida,FRCC,"1,400","1,200,000","severe weather, hurricane/tropical storm",8.0,Florida,Severe Weather
Fault at Barre Substation,2004,8/4/2004,Southern California Edison,California,WECC,480,"182,000",equipment failure,1.0666666666666667,California,Equipment Failures
Severe Storm,2004,8/3/2004,Commonwealth Edison,Illinois,MAIN,127,"127,000","severe weather, storm",10.0,Illinois,Severe Weather
Unplanned Generator Outage/High Loads Made Public Appeal,2004,8/2/2004,Entergy Transmission,Texas,SPP,-,-,"generator trip, public appeal, load shedding",10.0,Texas,Equipment Failures
Severe Storms,2004,7/25/2004,Southern Company,Florida,SERC,61,"61,004","severe weather, storm",1.0,Florida,Severe Weather
Severe Storms,2004,7/25/2004,Southern Company,Mississippi,SERC,61,"61,004","severe weather, storm",1.0,Mississippi,Severe Weather
Public Appeal,2004,7/24/2004,Entergy Transmission,Louisiana,SPP,-,-,public appeal,29.25,Louisiana,Public Appeal
Severe Thunderstorms,2004,7/21/2004,Commonwealth Edison,Illinois,MAIN,Approx. 200,"200,000","severe weather, thunderstorm",25.5,Illinois,Severe Weather
Wildfire/Shed Interruptible Load,2004,7/20/2004,Southern California Edison,California,WECC,214,-,"wild fire, load shedding",11.566666666666666,California,Wild Fire
